utmx,utmy,X,Y,Five_ave_crime,Population65,NoHealthInsurance,Beer,MentalHealthPati,DrinkingPlaces,ReligiousPlaces
4027387.445,4252365.539,-86.443581,32.472082,9.17273998956973,187.84,91.45,14.775616,20.931701,57.408535,248.238273
3952385.333,4037626.235,-87.78623,31.112755,9.40322712748401,674.76,282.13,54.869272,42.753534,253.330844,551.504975
4148310.139,4207575.323,-85.572544,31.800161,8.22505150029763,177.04,103.5,3.071859,2.082543,19.477491,79.804892
3947440.086,4287941.686,-87.009323,32.961403,6.54381755622761,65.22,48.14,3.707315,3.918411,8.481856,74.383827
3933260.648,4429473.258,-86.635686,34.032785,9.79258425902709,159.76,101.41,15.319032,9.150282,32.601154,176.595547
4109438.452,4229255.096,-85.825803,32.068123,7.12606262026212,47.48,34.15,2.217519,3.636545,2.182031,11.530543
4039476.705,4178657.999,-86.588424,31.903303,8.59288228229984,135.17,54.58,2.251809,1.473267,7.205722,85.078359
4027449.037,4414872.043,-85.873202,33.64412,8.8589687321991,494.58,299.22,15.51005,19.069174,57.813031,517.584978
4134734.495,4348624.374,-85.197184,32.847257,7.53066894735004,156.69,79.97,8.091798,6.774277,47.730334,152.030403
4021515.539,4511534.268,-85.569484,34.355408,9.14902447213214,135.78,52.55,4.515066,1.125406,8.422992,78.362559
3983483.984,4276289.901,-86.738255,32.772464,9.38406849576456,148,112.67,4.552529,10.740872,16.188695,185.939119
3867057.73,4135404.575,-88.212506,32.066324,6.34071689692654,89.74,40.9,1.937653,1.975303,4.632642,87.967473
3938251.51,4103331.722,-87.699686,31.634827,7.77749305570747,96.37,49.14,4.513315,1.062881,6.643127,65.789374
4043873.069,4374509.744,-85.877103,33.304726,6.87802112940415,84.81,43.25,1.914941,2.80583,5.023074,49.392424
4055789.085,4433616.113,-85.562208,33.692621,8.28704611759116,76.91,49.9,2.291052,2.392701,7.962946,63.075942
4127486.341,4123133.988,-86.028552,31.253286,8.49233591716488,253.31,154.77,12.52581,4.130387,51.043974,265.824866
3801347.686,4473342.907,-87.63981,34.747097,8.33896413689921,279.1,106.67,25.853744,14.979812,43.115401,299.072496
4012857.896,4319760.893,-86.335788,33.002011,8.58943814482775,67.54,23.93,1.766569,1.351728,4.495505,30.031679
4079963.243,4130331.513,-86.404756,31.438935,8.50095207722828,295.04,164.16,31.736483,7.439619,25.616374,295.157773
4084800.497,4172042.815,-86.226238,31.726809,7.59458014576876,113.04,55.87,4.329227,2.498051,10.821092,96.718569
3903413.19,4438462.153,-86.864139,34.187442,9.98055219663862,331.7,195.92,26.612414,14.950518,54.773954,319.058493
4158817.113,4162239.478,-85.636959,31.445272,8.81003840354289,249.94,158.31,12.410722,7.539016,47.443786,185.282117
3963561.742,4239856.207,-87.033485,32.564382,9.833668612,245.85,148.41,17.689634,19.241312,12.287772,242.224757
4009732.347,4520564.81,-85.637516,34.456554,9.74727277826418,237.73,195.39,11.858952,3.458172,20.494467,172.836754
4072167.475,4276472.14,-85.979538,32.516028,9.70178204967877,238.02,115.03,19.233431,22.570369,62.455512,283.549782
4000373.71,4453155.219,-85.967496,34.001389,9.79515844106579,539.11,385.81,28.668901,26.267921,69.59462,452.601139
3845701.64,4363393.311,-87.636713,33.808525,7.09985950240938,103.72,39.53,2.639002,5.415894,8.133646,66.143272
3770097.494,4430161.794,-88.072658,34.521142,8.84028590304316,157.11,109.42,4.392688,2.635622,12.927502,166.537939
4129162.002,4100889.211,-86.08719,31.088301,8.6833666230491,118.68,74.36,8.622159,2.755372,13.231575,91.878218
3866988.349,4219493.852,-87.938855,32.688042,8.54308042109422,60.33,38.18,1.474541,1.94741,3.230666,27.085256
3882798.51,4249481.965,-87.701022,32.864468,7.01053972943133,111.13,48.58,7.161972,5.640476,12.241607,77.017968
4192342.357,4192668.417,-85.255158,31.566294,8.04908477759466,138.26,58.26,6.687084,2.114989,12.304036,68.702542
4192178.847,4144088.755,-85.419304,31.220099,9.63481157847088,390.36,245.72,47.764159,10.627359,76.759913,432.043858
3936446.917,4359177.352,-86.857717,33.512429,11.3365470781826,2588.88,1696.67,259.868544,217.595478,816.086365,2848.946841
3794230.831,4361843.191,-88.096943,33.946116,7.06760884780991,65.4,31.76,2.282515,0.739639,5.403026,44.379782
3793377.018,4481385.237,-87.681804,34.829955,7.78260132250247,400.52,225.61,39.675399,24.780655,68.681155,595.445705
3831353.612,4461063.768,-87.41755,34.567622,9.29406963011825,162.32,79.07,9.271752,6.535432,13.761507,146.159756
4115173.886,4305252.063,-85.515268,32.596024,10.1216495400394,299.11,209.83,31.270406,38.669621,225.974308,523.324276
3862907.619,4503827.353,-86.982912,34.78542,9.389809642,260.35,161.48,22.321563,19.755913,49.240463,263.174841
4008934.492,4217294.705,-86.719898,32.270648,8.66663173402836,54.7,25.73,1.899027,1.988082,5.055435,27.848673
4118505.317,4265612.383,-85.624798,32.302491,8.81760544320126,251.46,97.31,7.117618,5.755696,13.746303,92.291983
3881949.232,4535880.167,-86.69641,34.960651,10.8299728499902,1159.34,694.19,110.253721,87.586884,368.090572,1105.507491
3893544.675,4147113.232,-87.94483,32.08018,8.80187588512543,118.25,49.92,3.191158,8.56098,10.984068,87.565671
3797058.863,4396887.858,-87.949791,34.196722,8.1313267071499,144.88,64.61,10.123235,6.570586,11.904366,134.656879
3961165.341,4475287.395,-86.226351,34.280137,9.14627094282443,306.17,221.49,10.842391,13.15823,84.068985,287.190877
3935693.337,3968041.487,-88.143755,30.643455,10.9699317749672,1747.99,1296.07,117.921643,83.48879,422.10841,1663.834295
3963765.01,4124069.453,-87.413893,31.716986,8.31012387901956,136.2,86.18,3.60701,3.987064,7.761821,77.552514
4053908.005,4249145.505,-86.228474,32.372142,9.3951636036372,942.39,646.7,28.742669,129.008017,202.339485,863.414793
3869546.062,4480729.633,-87.008751,34.59699,8.89796665033357,459.85,268.48,37.92904,32.329324,63.631559,577.615082
3830108.308,4266998.253,-88.10342,33.142607,5.5744781858929,99.36,45.13,3.951037,2.75201,8.081388,77.179657
4105695.195,4188028.469,-85.996562,31.782457,8.06773543914898,130.72,75.12,19.486989,13.778256,24.330416,80.367559
4072580.035,4403501.195,-85.527882,33.426217,7.73682956702371,120.96,55.74,7.724451,3.165406,9.867957,67.823079
4172767.359,4312193.007,-85.006312,32.474319,9.0792368932391,199.2,156.86,26.436849,9.289015,38.026261,168.090448
3989748.678,4414076.255,-86.200866,33.751917,8.44859487501076,220.18,116.46,11.986526,25.605642,49.732666,237.132622
3950192.604,4343549.589,-86.793157,33.358377,9.75342647196984,707.9,325.48,62.163814,160.881629,216.123797,1055.802939
3828822.146,4227049.833,-88.247798,32.850612,7.55028986605668,86.63,48.76,3.465788,2.016407,15.850309,32.697917
4013727.922,4361540.277,-86.181643,33.301196,10.0119049530071,382.07,214.04,15.888705,12.785075,46.432355,330.367688
4092741.735,4321195.05,-85.649304,32.77661,8.27187952523747,214.14,80.7,6.145916,8.957657,27.771381,127.790692
3898779.597,4318365.848,-87.327522,33.324315,10.4131890310876,612.17,374.2,102.546562,89.765002,340.106194,1250.306775
3871544.959,4393382.787,-87.304314,33.952927,9.91757315649791,343.72,220.21,10.481508,26.98574,39.893185,395.327162
3911591.475,4064095.216,-88.053624,31.417921,7.86037166043112,92.91,49.39,1.575356,0.779365,5.39008,45.459459
3944316.913,4174633.321,-87.41633,32.14173,7.71200992798669,43.43,22.99,0.592929,1.623393,2.28291,15.330149
3855102.397,4411304.219,-87.385555,34.132591,7.10037197433796,146.24,82.17,5.522667,4.434632,9.17029,88.305508
1758231.892,4008156.019,-109.184475,35.416491,5.87218596940463,132.88,117.95,2.171438,2.873202,9.961988,41.610373
1714812.055,3561668.767,-110.24907,31.546888,9.77091913610117,645.92,241.46,15.586582,29.352893,122.728815,276.323774
1586268.047,4019105.11,-111.01837,35.714053,9.02171379287758,344.87,254.54,28.808628,22.541896,169.698706,208.920121
1557937.911,3860434.622,-111.525429,34.343019,9.07869014690309,429.41,126.58,10.781453,4.599563,39.097039,117.468679
1719663.467,3758910.842,-109.947699,33.275953,8.04140910153256,114.21,40.25,3.257437,2.564035,18.390819,162.491353
1780715.691,3732885.672,-109.346176,32.978057,6.0988016241058,2.16,3.96,0.242484,0.221488,3.232697,10.302462
1329205.806,3820918.061,-114.013445,34.1987,8.74867678227506,277.37,69.09,3.830234,1.862053,28.255002,39.710248
1509076.312,3764948.229,-112.155854,33.54579,11.5700077183545,14518.54,9564.95,1145.511689,1574.464577,6572.468879,12316.56595
1264304.199,3916813.595,-114.623754,35.103767,10.5125509363765,1274.3,382.69,43.324298,46.138709,245.586822,303.216419
1649009.937,4032379.947,-110.32226,35.760414,9.10406505646097,468.05,249.84,6.674027,15.812176,66.490293,205.640918
1638578.493,3634213.59,-110.949372,32.26412,12.2601299610145,4615.27,2059.3,251.30407,333.306427,1219.377218,2379.179961
1569175.027,3736287.996,-111.554658,33.234506,10.5025181389099,1679.04,672.68,73.163158,71.62535,328.891341,786.036171
1676714.716,3559313.508,-110.643677,31.56525,7.57503284036364,205.17,106.3,15.879055,5.984707,19.693483,58.440382
1474316.631,3905828.136,-112.366388,34.826834,10.060859447247,1307.03,412.41,43.147099,63.014099,220.416735,361.473216
