utmx,utmy,X,Y,Depression_prevelence,PopulationDensity,Population65,NoHealthInsurance,Neighbor_Disadvantage,NatureParks,DrinkingPlaces
4335032.771,4663545.339,-82.334453,34.411896,23.10000038,61.48899,22.47,7.98,-0.052541542,11.774442,2.007608
4332381.018,4649815.971,-82.41126,34.32681,22.79999924,58.3391,16.8,10.96,-0.253567525,13.429822,2.481604
4319821.886,4632557.64,-82.583602,34.250053,23.20000076,35.92264,24.48,9.31,-0.054039474,10.771803,2.906289
4342637.6,4639346.396,-82.368482,34.221259,21.79999924,76.091,21.78,13.17,0.073054521,20.497589,4.273462
4346973.317,4627517.329,-82.379797,34.126051,20.70000076,47.30931,21.97,11,0.762641351,12.395006,3.378659
4326065.528,4618309.237,-82.588447,34.131772,21.29999924,32.48264,19.22,13.02,0.421748956,7.76251,1.170264
4449542.127,4623292.418,-81.560113,33.757931,22,36.91897,19.24,10.83,0.112718487,10.668163,1.308981
4446581.797,4606911.533,-81.648992,33.657018,21.20000076,61.52751,15.89,8.57,-0.153870647,11.697338,2.307366
4431567.532,4599346.298,-81.800432,33.655348,22.70000076,67.21824,15.72,17.76,-0.3198518,16.97927,3.183253
4438661.308,4595645.575,-81.757536,33.606892,20.60000038,253.6312,11.29,12.73,0.457177562,11.371546,2.663188
4432689.836,4587251.76,-81.838905,33.569634,21.89999962,501.6391,11.02,13.03,0.07590746,19.176265,2.973913
4423271.723,4584548.664,-81.925886,33.58221,20,645.3383,16.87,5.1,-0.459161237,34.796554,4.893823
4427387.841,4582975.238,-81.89866,33.558019,20.10000038,403.8991,10.56,3.08,-0.716483595,32.21389,4.659
4424543.256,4578641.464,-81.938704,33.537911,21.20000076,1220.739,13.58,16.1,0.524272829,37.757509,3.312826
4422103.742,4576130.859,-81.968318,33.52884,20.89999962,1242.262,23.76,12.88,-0.371240888,39.564903,5.748139
4425550.057,4573980.253,-81.948761,33.502943,20.20000076,1828.278,11.94,13.49,0.256153407,15.232891,2.104588
4420180.134,4574137.781,-81.99172,33.521586,19.20000076,1074.432,23.46,2.62,-0.881417623,45.767525,5.308961
4424004.052,4571628.19,-81.970487,33.492016,21.39999962,1903.332,17.15,6.47,0.117851215,33.064559,5.006576
