utmx,utmy,X,Y,Rate_per_100000,PopulationDensity,Beer,NoHealthInsurance,Cases,Neighbor_Disadvantage
4027387.445,4252365.539,-86.443581,32.472082,5.40492710160629,9630.25297,14.775616,91.45,104,-1.17901
3952385.333,4037626.235,-87.78623,31.112755,5.15155598515263,14435.29598,54.869272,282.13,328,-10.238901
4148310.139,4207575.323,-85.572544,31.800161,6.21260609575152,1191.26062,3.071859,103.5,105,6.661802
3947440.086,4287941.686,-87.009323,32.961403,5.3186100698158,174.20999,3.707315,48.14,39,0.646958
3933260.648,4429473.258,-86.635686,34.032785,4.28082412916472,847.5534,15.319032,101.41,35,-0.864327
4109438.452,4229255.096,-85.825803,32.068123,6.34651316930213,56.738031,2.217519,34.15,49,2.191279
4039476.705,4178657.999,-86.588424,31.903303,5.97939196587371,1386.81512,2.251809,54.58,65,0.98855
4027449.037,4414872.043,-85.873202,33.64412,5.61604356034819,16342.04627,15.51005,299.22,266,11.429899
4134734.495,4348624.374,-85.197184,32.847257,6.00905885550893,2942.74245,8.091798,79.97,115,0.222689
4021515.539,4511534.268,-85.569484,34.355408,4.80974235171687,413.08889,4.515066,52.55,28,-0.666968
3983483.984,4276289.901,-86.738255,32.772464,4.93087032562739,946.39676,4.552529,112.67,51,1.44697
3867057.73,4135404.575,-88.212506,32.066324,5.43981692882174,56.22487,1.937653,40.9,25,1.364559
3938251.51,4103331.722,-87.699686,31.634827,5.24121777450746,216.7897,4.513315,49.14,38,2.597825
4043873.069,4374509.744,-85.877103,33.304726,5.17332087637335,99.80688,1.914941,43.25,20,1.038601
4055789.085,4433616.113,-85.562208,33.692621,4.64053732982538,118.16607,2.291052,49.9,13,0.01518
4127486.341,4123133.988,-86.028552,31.253286,5.16934698525108,5484.84227,12.52581,154.77,77,0.724189
3801347.686,4473342.907,-87.63981,34.747097,4.7824792009585,11273.90568,25.853744,106.67,56,-0.301514
4041672.044,4108154.772,-86.800952,31.38495,5.6076386141033,100.068435,1.777162,64.32,28,2.561512
4012857.896,4319760.893,-86.335788,33.002011,5.25070151260637,63.16255,1.766569,23.93,18,-0.550078
4079963.243,4130331.513,-86.404756,31.438935,5.03435182071357,1995.495482,31.736483,164.16,48,3.579443
4084800.497,4172042.815,-86.226238,31.726809,5.14923714353388,137.17821,4.329227,55.87,20,0.955247
3903413.19,4438462.153,-86.864139,34.187442,4.52828914165213,3845.2412,26.612414,195.92,65,-0.724786
4158817.113,4162239.478,-85.636959,31.445272,5.78873618053636,3222.74381,12.410722,158.31,134,1.098757
3963561.742,4239856.207,-87.033485,32.564382,6.11787690946242,8242.41905,17.689634,148.41,141,10.129236
4009732.347,4520564.81,-85.637516,34.456554,4.63083793273667,1557.03998,11.858952,195.39,61,1.367971
4072167.475,4276472.14,-85.979538,32.516028,5.59545459777057,4324.49013,19.233431,115.03,185,-3.410143
4044731.59,4072258.363,-86.89051,31.115195,5.57708482161024,1153.2846,8.031614,130.74,81,4.628415
4000373.71,4453155.219,-85.967496,34.001389,5.38219885052874,25207.03183,28.668901,385.81,189,7.186268
3845701.64,4363393.311,-87.636713,33.808525,4.61709875685337,155.69392,2.639002,39.53,14,0.497314
3770097.494,4430161.794,-88.072658,34.521142,4.39444915467244,1167.0367,4.392688,109.42,21,0.546665
4129162.002,4100889.211,-86.08719,31.088301,5.16535723929181,321.47992,8.622159,74.36,39,0.129409
3866988.349,4219493.852,-87.938855,32.688042,6.08107670579767,39.829007,1.474541,38.18,30,3.054224
3882798.51,4249481.965,-87.701022,32.864468,6.21380777825142,143.30454,7.161972,48.58,61,2.538798
4192342.357,4192668.417,-85.255158,31.566294,5.55450877190845,257.73823,6.687084,58.26,38,0.411673
4192178.847,4144088.755,-85.419304,31.220099,5.98469166282055,21872.54069,47.764159,245.72,353,5.882603
3932699.674,4544503.116,-86.218177,34.867007,4.47960696301275,1474.538435,10.622809,107.49,39,-0.180651
3936446.917,4359177.352,-86.857717,33.512429,6.51144810865874,321253.1794,259.868544,1696.67,3696,37.495006
3794230.831,4361843.191,-88.096943,33.946116,4.70682383971459,69.30521,2.282515,31.76,13,1.080928
3793377.018,4481385.237,-87.681804,34.829955,4.7740687224499,20063.76042,39.675399,225.61,95,-0.791214
3831353.612,4461063.768,-87.41755,34.567622,4.45667017766965,607.20763,9.271752,79.07,24,0.669066
4115173.886,4305252.063,-85.515268,32.596024,5.41253851063806,37331.06115,31.270406,209.83,314,0.856842
3862907.619,4503827.353,-86.982912,34.78542,4.8955984841079,7662.28827,22.321563,161.48,112,0.027585
4008934.492,4217294.705,-86.719898,32.270648,6.41934325005305,47.92676,1.899027,25.73,50,2.495226
4118505.317,4265612.383,-85.624798,32.302491,6.41754894241888,4161.116129,7.117618,97.31,97,7.697141
3881949.232,4535880.167,-86.69641,34.960651,5.56029694164744,115965.0386,110.253721,694.19,818,4.905173
3893544.675,4147113.232,-87.94483,32.08018,5.13462127387725,216.729892,3.191158,49.92,27,1.488777
3797058.863,4396887.858,-87.949791,34.196722,4.92216831277393,343.59282,10.123235,64.61,35,1.546879
3961165.341,4475287.395,-86.226351,34.280137,5.06953293534374,5606.648,10.842391,221.49,126,-0.353104
3935693.337,3968041.487,-88.143755,30.643455,6.31806680679042,201353.3882,117.921643,1296.07,1907,25.728792
3963765.01,4124069.453,-87.413893,31.716986,5.25905665259473,192.413689,3.60701,86.18,34,6.896361
4053908.005,4249145.505,-86.228474,32.372142,6.67190635517037,113407.9125,28.742669,646.7,1479,19.008583
3869546.062,4480729.633,-87.008751,34.59699,4.94662996412034,28705.70321,37.92904,268.48,141,-1.075685
3947289.487,4250050.837,-87.13947,32.685264,5.90481674038231,39.585197,2.823203,32.43,28,2.385453
3830108.308,4266998.253,-88.10342,33.142607,5.72945022140478,130.28584,3.951037,45.13,53,1.746868
4105695.195,4188028.469,-85.996562,31.782457,6.02707297457535,850.16807,19.486989,75.12,118,1.584253
4072580.035,4403501.195,-85.527882,33.426217,4.41521960202965,279.04133,7.724451,55.74,16,0.843262
4172767.359,4312193.007,-85.006312,32.474319,6.02150866845636,14390.73187,26.436849,156.86,197,5.704339
3989748.678,4414076.255,-86.200866,33.751917,5.0536947835567,3284.11402,11.986526,116.46,118,-1.302017
3950192.604,4343549.589,-86.793157,33.358377,5.19960139360888,44719.02741,62.163814,325.48,332,-20.467954
3828822.146,4227049.833,-88.247798,32.850612,6.00265173649855,52.475309,3.465788,48.76,43,2.42618
4013727.922,4361540.277,-86.181643,33.301196,5.52026019728573,8934.8509,15.888705,214.04,171,10.397788
4092741.735,4321195.05,-85.649304,32.77661,5.35705786157064,998.26978,6.145916,80.7,73,3.651448
3898779.597,4318365.848,-87.327522,33.324315,5.67572587687368,71166.58166,102.546562,374.2,520,15.856987
3871544.959,4393382.787,-87.304314,33.952927,4.99382817577987,2503.22764,10.481508,220.21,79,3.933737
3911591.475,4064095.216,-88.053624,31.417921,4.61611012602643,83.036808,1.575356,49.39,14,0.739965
3944316.913,4174633.321,-87.41633,32.14173,5.57897482406285,30.296367,0.592929,22.99,23,1.561977
3855102.397,4411304.219,-87.385555,34.132591,3.78872478908365,372.62932,5.522667,82.17,9,0.975238
1758231.892,4008156.019,-109.184475,35.416491,5.23164323328004,978.059264,2.171438,117.95,109,2.109407
1714812.055,3561668.767,-110.24907,31.546888,5.26734256224861,25280.39202,15.586582,241.46,209,2.277397
1586268.047,4019105.11,-111.01837,35.714053,4.9600435079802,34446.34533,28.808628,254.54,176,-3.46012
1557937.911,3860434.622,-111.525429,34.343019,4.61808641125464,2819.513384,10.781453,126.58,47,-1.345791
1719663.467,3758910.842,-109.947699,33.275953,4.52504414150881,5601.539594,3.257437,40.25,29,-0.181156
1780715.691,3732885.672,-109.346176,32.978057,4.52504414150881,33.34649,0.242484,3.96,7,-0.772227
1329205.806,3820918.061,-114.013445,34.1987,4.76302827060367,2010.678405,3.830234,69.09,22,-0.045882
1509076.312,3764948.229,-112.155854,33.54579,5.74556400867116,4520601.597,1145.511689,9564.95,11706,-116.292106
1264304.199,3916813.595,-114.623754,35.103767,4.94378298710842,53534.91633,43.324298,382.69,265,-0.085453
1649009.937,4032379.947,-110.32226,35.760414,5.00729639283074,3903.715004,6.674027,249.84,135,8.995153
1638578.493,3634213.59,-110.949372,32.26412,5.68731428194889,727035.2582,251.30407,2059.3,2642,-4.025224
1569175.027,3736287.996,-111.554658,33.234506,5.57177373173584,115722.1989,73.163158,672.68,1022,0.146899
